"X1","X2","Y1","Y2",
3.9979,1.7065,1,1,
6.4746,1.3567,1,1,
7.1861,1.3076,1,1,
6.1401,1.7408,1,1,
2.8876,1.7839,1,1,
6.5146,1.5356,1,1,
7.8617,1.2139,1,1,
3.502,1.3835,1,1,
7.135,1.6013,1,1,
6.6549,1.8087,1,1,
4.5972,1.0951,1,1,
4.9502,1.7677,1,1,
3.2455,1.8734,1,1,
8.0376,1.831,1,1,
4.4129,1.9171,1,1,
5.593,1.4092,1,1,
5.1964,1.8835,1,1,
5.8587,1.4776,1,1,
5.6392,1.0313,1,1,
4.1626,1.9578,1,1,
5.5602,1.5529,1,1,
5.5687,1.2841,1,1,
5.1896,1.3991,1,1,
5.8629,1.3199,1,1,
4.8249,1.784,1,1,
4.365,1.0057,1,1,
5.227,1.7348,1,1,
4.9107,1.606,1,1,
4.2679,1.6659,1,1,
6.2821,1.8364,1,1,
5.2395,1.0844,1,1,
6.0603,1.695,1,1,
5.2184,1.343,1,1,
5.9883,1.753,1,1,
6.1966,1.1313,1,1,
5.6239,1.721,1,1,
4.3399,1.025,1,1,
5.2659,1.4046,1,1,
4.5485,1.8582,1,1,
6.0545,1.8215,1,1,
5.1534,1.3335,1,1,
4.8443,1.6521,1,1,
6.1554,1.3905,1,1,
6.4911,1.4421,1,1,
4.403,1.6011,1,1,
5.547,1.9889,1,1,
6.0983,1.0746,1,1,
5.4908,1.3563,1,1,
7.4236,1.2061,1,1,
5.2997,1.4032,1,1,
6.1701,1.3612,1,1,
4.3572,1.7868,1,1,
4.8702,1.5454,1,1,
6.0074,1.7097,1,1,
6.2242,1.525,1,1,
5.8624,1.584,1,1,
7.7398,1.2203,1,1,
5.0623,1.6826,1,1,
5.0026,1.3342,1,1,
6.6017,1.6895,1,1,
4.7471,1.9751,1,1,
7.7846,1.7057,1,1,
5.0098,1.599,1,1,
5.2623,1.1713,1,1,
6.6968,1.843,1,1,
4.784,1.49,1,1,
6.5051,1.2596,1,1,
6.3601,1.204,1,1,
4.4935,1.9173,1,1,
6.402,1.7741,1,1,
5.9098,1.8009,1,1,
5.0122,1.1287,1,1,
4.9374,1.3334,1,1,
5.5871,1.3391,1,1,
5.8114,1.2256,1,1,
4.7415,1.9966,1,1,
5.884,1.2276,1,1,
5.4449,1.2722,1,1,
4.7286,1.3484,1,1,
4.5503,1.3673,1,1,
5.0047,1.5408,1,1,
4.7631,1.5488,1,1,
6.6405,1.1065,1,1,
4.4314,1.4854,1,1,
5.7012,1.3752,1,1,
6.0886,1.5343,1,1,
4.5992,1.762,1,1,
5.9367,1.5708,1,1,
5.0849,1.162,1,1,
4.685,1.1965,1,1,
4.1074,1.0303,1,1,
4.6184,1.4912,1,1,
7.2836,1.117,1,1,
3.997,1.5537,1,1,
4.9149,1.3691,1,1,
4.4132,1.4138,1,1,
6.3294,1.3054,1,1,
4.65,1.3697,1,1,
